cod_componente	qtà	data_rilevazione	ubicazione	lotto	note
PCB-AUX-0001	355	2024-10-01	MAG-C-SC14	202410-250	
CONN-SPARE-0002	704	2024-10-01	MAG-C-SC33	202406-824	
CONN-SUB-0003	266	2024-10-01	MAG-A-SC03	202410-574	
MOT-MAIN-0004	382	2024-10-01	MAG-A-SC02	202404-587	
BTN-MAIN-0005	618	2024-10-01	MAG-C-SC24	202408-825	
DISP-SPARE-0006	478	2024-10-01	MAG-C-SC19	202410-914	
FAN-SPARE-0007	437	2024-10-01	MAG-B-SC20	202402-192	
CONN-AUX-0008	674	2024-10-01	MAG-C-SC21	202406-672	
SENS-MAIN-0009	461	2024-10-01	MAG-A-SC05	202407-147	
MOT-AUX-0010	226	2024-10-01	MAG-A-SC03	202402-281	
MOT-SPARE-0011	476	2024-10-01	MAG-A-SC39	202410-312	
PCB-AUX-0012	382	2024-10-01	MAG-A-SC46	202401-788	
PCB-SUB-0013	579	2024-10-01	MAG-A-SC45	202401-790	
BTN-MAIN-0015	360	2024-10-01	MAG-B-SC22	202402-792	
CONN-MAIN-0016	751	2024-10-01	MAG-B-SC17	202410-329	
MOT-AUX-0017	454	2024-10-01	MAG-B-SC07	202403-979	
LED-SPARE-0018	526	2024-10-01	MAG-A-SC18	202404-733	
MOT-SUB-0019	510	2024-10-01	MAG-B-SC02	202405-982	
LED-MAIN-0020	482	2024-10-01	MAG-B-SC20	202410-474	
PCB-SPARE-0021	355	2024-10-01	MAG-B-SC36	202402-623	
MOT-MAIN-0022	45	2024-10-01	MAG-A-SC24	202401-859	SCORTA BASSA - Verificare riordino
LED-MAIN-0023	899	2024-10-01	MAG-B-SC28	202401-189	
CTRL-AUX-0024	383	2024-10-01	MAG-B-SC40	202410-472	
SENS-SUB-0025	726	2024-10-01	MAG-A-SC10	202410-206	
PCB-AUX-0026	524	2024-10-01	MAG-C-SC03	202410-934	
SENS-SPARE-0027	634	2024-10-01	MAG-A-SC03	202405-863	
FAN-AUX-0028	469	2024-10-01	MAG-A-SC36	202406-714	
FAN-MAIN-0029	358	2024-10-01	MAG-C-SC47	202404-131	
LED-SUB-0030	32	2024-10-01	MAG-B-SC40	202404-703	SCORTA BASSA - Verificare riordino
MOT-SPARE-0031	491	2024-10-01	MAG-B-SC21	202409-705	
CTRL-SPARE-0032	462	2024-10-01	MAG-C-SC45	202406-720	
PCB-MAIN-0033	426	2024-10-01	MAG-C-SC33	202409-890	
CTRL-MAIN-0034	442	2024-10-01	MAG-C-SC46	202404-832	
SENS-AUX-0035	361	2024-10-01	MAG-C-SC29	202403-703	
SENS-MAIN-0036	375	2024-10-01	MAG-C-SC38	202410-102	
SENS-MAIN-0037	782	2024-10-01	MAG-A-SC49	202407-101	
DISP-MAIN-0038	764	2024-10-01	MAG-B-SC22	202403-785	
PCB-MAIN-0039	584	2024-10-01	MAG-A-SC18	202402-183	
BTN-SPARE-0040	772	2024-10-01	MAG-B-SC13	202410-233	
PWR-MAIN-0041	845	2024-10-01	MAG-A-SC43	202410-277	
CONN-SUB-0042	490	2024-10-01	MAG-B-SC17	202410-536	
PWR-MAIN-0043	333	2024-10-01	MAG-A-SC32	202407-852	
BTN-SUB-0044	635	2024-10-01	MAG-A-SC42	202401-216	
BTN-SUB-0045	578	2024-10-01	MAG-B-SC10	202410-245	
CTRL-SPARE-0046	149	2024-10-01	MAG-A-SC46	202402-969	
SENS-AUX-0047	651	2024-10-01	MAG-C-SC11	202406-497	
LED-SPARE-0048	589	2024-10-01	MAG-C-SC24	202409-251	
SENS-AUX-0049	426	2024-10-01	MAG-B-SC09	202410-218	
MOT-SPARE-0050	1398	2024-10-01	MAG-A-SC15	202410-682	
CTRL-AUX-0051	687	2024-10-01	MAG-B-SC03	202403-315	
MOT-SUB-0052	943	2024-10-01	MAG-B-SC06	202410-801	
CONN-SPARE-0053	407	2024-10-01	MAG-A-SC47	202405-100	
MOT-SUB-0054	361	2024-10-01	MAG-A-SC16	202405-162	
FAN-SUB-0055	312	2024-10-01	MAG-A-SC40	202405-525	
PCB-MAIN-0056	394	2024-10-01	MAG-B-SC31	202408-807	
SENS-SPARE-0057	1224	2024-10-01	MAG-B-SC22	202404-481	
BTN-SUB-0058	328	2024-10-01	MAG-C-SC45	202410-878	
PWR-SUB-0059	577	2024-10-01	MAG-A-SC09	202410-842	
CONN-SUB-0060	649	2024-10-01	MAG-A-SC37	202402-912	
PWR-SUB-0061	1009	2024-10-01	MAG-A-SC04	202404-394	
BTN-MAIN-0062	1019	2024-10-01	MAG-C-SC25	202410-931	
SENS-SUB-0063	721	2024-10-01	MAG-A-SC36	202410-334	
FAN-MAIN-0064	515	2024-10-01	MAG-A-SC11	202406-387	
PCB-MAIN-0065	571	2024-10-01	MAG-C-SC13	202410-342	
FAN-AUX-0066	410	2024-10-01	MAG-A-SC18	202408-119	
FAN-SUB-0067	538	2024-10-01	MAG-C-SC33	202410-232	
MOT-MAIN-0068	153	2024-10-01	MAG-B-SC03	202406-953	
LED-AUX-0069	763	2024-10-01	MAG-C-SC16	202406-198	
DISP-SUB-0070	324	2024-10-01	MAG-C-SC26	202410-690	
DISP-AUX-0071	539	2024-10-01	MAG-A-SC28	202410-309	
PCB-MAIN-0072	449	2024-10-01	MAG-B-SC33	202406-623	
PCB-MAIN-0073	491	2024-10-01	MAG-A-SC03	202410-475	
LED-AUX-0074	562	2024-10-01	MAG-A-SC09	202403-558	
LED-SPARE-0075	618	2024-10-01	MAG-A-SC01	202410-624	
FAN-SPARE-0076	368	2024-10-01	MAG-A-SC18	202405-819	
MOT-SPARE-0077	334	2024-10-01	MAG-A-SC15	202404-123	
CONN-SPARE-0078	397	2024-10-01	MAG-A-SC35	202410-162	
PCB-MAIN-0079	201	2024-10-01	MAG-A-SC26	202408-621	
MOT-SPARE-0080	400	2024-10-01	MAG-B-SC03	202410-101	
LED-SPARE-0081	585	2024-10-01	MAG-C-SC34	202410-845	
CONN-AUX-0082	569	2024-10-01	MAG-C-SC38	202410-815	
PCB-SPARE-0083	418	2024-10-01	MAG-B-SC46	202410-166	
DISP-AUX-0084	355	2024-10-01	MAG-A-SC45	202402-811	
CTRL-MAIN-0085	554	2024-10-01	MAG-C-SC12	202408-618	
FAN-SUB-0086	519	2024-10-01	MAG-C-SC14	202409-427	
BTN-MAIN-0087	485	2024-10-01	MAG-A-SC22	202405-539	
MOT-SPARE-0088	596	2024-10-01	MAG-C-SC05	202409-627	
FAN-AUX-0089	597	2024-10-01	MAG-A-SC44	202402-451	
LED-SUB-0090	292	2024-10-01	MAG-B-SC49	202405-398	
LED-SUB-0091	679	2024-10-01	MAG-A-SC39	202410-921	
CTRL-SUB-0092	493	2024-10-01	MAG-A-SC45	202410-310	
LED-AUX-0093	275	2024-10-01	MAG-B-SC12	202410-611	
MOT-SPARE-0094	259	2024-10-01	MAG-C-SC04	202401-153	
SENS-SUB-0095	445	2024-10-01	MAG-B-SC18	202401-140	
PCB-AUX-0096	540	2024-10-01	MAG-B-SC27	202410-290	
CTRL-AUX-0097	349	2024-10-01	MAG-C-SC21	202410-878	
CTRL-SPARE-0098	383	2024-10-01	MAG-C-SC18	202410-248	
LED-SUB-0099	599	2024-10-01	MAG-B-SC01	202402-808	
PWR-SPARE-0100	828	2024-10-01	MAG-C-SC40	202410-595	
LED-SPARE-0101	379	2024-10-01	MAG-B-SC06	202402-903	
PWR-AUX-0102	686	2024-10-01	MAG-C-SC28	202410-216	
PCB-MAIN-0103	1119	2024-10-01	MAG-C-SC49	202410-334	
SENS-SUB-0104	344	2024-10-01	MAG-C-SC31	202406-537	
SENS-AUX-0105	583	2024-10-01	MAG-A-SC25	202410-816	
LED-SPARE-0106	370	2024-10-01	MAG-C-SC07	202410-769	
BTN-SUB-0107	547	2024-10-01	MAG-B-SC08	202410-696	
MOT-SPARE-0108	664	2024-10-01	MAG-C-SC02	202406-264	
MOT-MAIN-0109	459	2024-10-01	MAG-A-SC37	202410-520	
BTN-SPARE-0110	201	2024-10-01	MAG-C-SC28	202410-492	
MOT-SPARE-0112	421	2024-10-01	MAG-A-SC46	202402-750	
PCB-SUB-0113	433	2024-10-01	MAG-C-SC22	202409-859	
CONN-MAIN-0114	640	2024-10-01	MAG-C-SC10	202403-248	
FAN-SUB-0115	772	2024-10-01	MAG-B-SC37	202410-725	
FAN-AUX-0116	606	2024-10-01	MAG-A-SC19	202410-301	
BTN-MAIN-0117	340	2024-10-01	MAG-A-SC45	202410-997	
CTRL-SPARE-0118	386	2024-10-01	MAG-A-SC10	202405-372	
LED-MAIN-0119	320	2024-10-01	MAG-A-SC21	202410-367	
PWR-SUB-0120	537	2024-10-01	MAG-A-SC01	202410-388	
CONN-SPARE-0121	454	2024-10-01	MAG-C-SC07	202410-732	
CTRL-MAIN-0122	982	2024-10-01	MAG-C-SC45	202410-972	
CTRL-SPARE-0123	501	2024-10-01	MAG-C-SC35	202410-478	
FAN-SUB-0124	347	2024-10-01	MAG-C-SC46	202410-691	
CONN-MAIN-0125	227	2024-10-01	MAG-A-SC02	202408-164	
PCB-SUB-0126	102	2024-10-01	MAG-A-SC02	202403-789	
BTN-SUB-0127	608	2024-10-01	MAG-B-SC04	202406-616	
PWR-SPARE-0128	326	2024-10-01	MAG-C-SC15	202406-562	
PCB-AUX-0129	501	2024-10-01	MAG-B-SC50	202403-756	
PWR-MAIN-0130	518	2024-10-01	MAG-C-SC40	202403-437	
LED-SUB-0131	230	2024-10-01	MAG-B-SC16	202409-879	
DISP-SPARE-0132	684	2024-10-01	MAG-A-SC31	202406-476	
CONN-SUB-0133	651	2024-10-01	MAG-C-SC03	202410-360	
MOT-MAIN-0134	644	2024-10-01	MAG-C-SC48	202410-741	
CTRL-MAIN-0135	529	2024-10-01	MAG-C-SC04	202410-177	
MOT-AUX-0136	419	2024-10-01	MAG-C-SC30	202404-296	
MOT-MAIN-0137	125	2024-10-01	MAG-C-SC05	202405-590	
LED-AUX-0138	969	2024-10-01	MAG-A-SC28	202410-796	
CTRL-SPARE-0139	700	2024-10-01	MAG-B-SC27	202403-889	
CTRL-SUB-0140	146	2024-10-01	MAG-B-SC15	202403-868	
DISP-SPARE-0141	468	2024-10-01	MAG-B-SC35	202404-853	
BTN-SUB-0142	295	2024-10-01	MAG-B-SC31	202410-358	
CTRL-SPARE-0143	425	2024-10-01	MAG-A-SC38	202406-898	
CTRL-SPARE-0144	299	2024-10-01	MAG-A-SC04	202410-792	
SENS-SUB-0145	287	2024-10-01	MAG-C-SC35	202410-682	
BTN-SPARE-0146	627	2024-10-01	MAG-A-SC19	202405-572	
DISP-SPARE-0147	747	2024-10-01	MAG-A-SC35	202409-336	
FAN-AUX-0148	318	2024-10-01	MAG-B-SC42	202405-622	
PWR-MAIN-0149	334	2024-10-01	MAG-C-SC31	202410-268	
DISP-SPARE-0150	444	2024-10-01	MAG-C-SC43	202410-352	
PWR-SUB-0151	667	2024-10-01	MAG-B-SC17	202410-959	
BTN-SUB-0152	527	2024-10-01	MAG-B-SC47	202404-897	
DISP-AUX-0153	566	2024-10-01	MAG-A-SC29	202402-688	
CTRL-SPARE-0154	288	2024-10-01	MAG-C-SC10	202410-991	
CONN-AUX-0155	333	2024-10-01	MAG-A-SC13	202410-558	
FAN-AUX-0156	490	2024-10-01	MAG-B-SC21	202410-198	
MOT-AUX-0157	404	2024-10-01	MAG-A-SC32	202410-995	
BTN-SPARE-0158	443	2024-10-01	MAG-A-SC49	202407-323	
CTRL-SPARE-0159	732	2024-10-01	MAG-A-SC28	202410-128	
MOT-SPARE-0160	651	2024-10-01	MAG-B-SC10	202403-588	
CONN-SUB-0161	376	2024-10-01	MAG-C-SC42	202410-457	
BTN-SPARE-0162	555	2024-10-01	MAG-C-SC41	202406-311	
PWR-SUB-0163	375	2024-10-01	MAG-C-SC01	202405-889	
LED-SPARE-0164	790	2024-10-01	MAG-C-SC37	202409-113	
MOT-SUB-0165	328	2024-10-01	MAG-C-SC37	202410-388	
PWR-SPARE-0166	1256	2024-10-01	MAG-C-SC21	202407-384	
